,place,lat,long
185,Elias Road (Blk 610),1.37539,103.942096
186,Elias Road (Blk 611),1.375156,103.942307
187,Elias Road (Blk 612),1.3747651,103.941965
188,Elias Road (Blk 613),1.375106,103.941564
189,Elias Road (Blk 614),1.3757779,103.9417428
190,Elias Road (Blk 615),1.377058,103.941346
191,Elias Road (Oasis @ Elias),1.35652304,103.8085938
192,Pasir Ris Drive 1 (Blk 637),1.376806,103.940466
193,Pasir Ris Drive 1 (Blk 638),1.376209,103.94066
194,Pasir Ris Drive 1 (Blk 640),1.37596,103.94052
195,Pasir Ris Drive 1 (Blk 641),1.3765714,103.9397192
196,Pasir Ris Drive 10 (Blk 701),1.379908,103.938035
197,Pasir Ris Drive 10 (Blk 702),1.380428,103.937663
198,Pasir Ris Drive 10 (Blk 703),1.380575,103.937196
199,Pasir Ris Drive 10 (Blk 704),1.380684,103.937277
200,Pasir Ris Drive 10 (Blk 705),1.380627,103.937934
201,Pasir Ris Drive 10 (Blk 706),1.378514,103.939272
202,Pasir Ris Drive 10 (Blk 707),1.378509,103.939269
203,Pasir Ris Drive 10 (Blk 736),1.379638,103.937243
204,Pasir Ris Drive 10 (Blk 737),1.379563,103.937037
205,Pasir Ris Drive 10 (Blk 738),1.378996,103.93657
206,Pasir Ris Drive 10 (Blk 739),1.378634,103.936768
207,Pasir Ris Street 72 (Blk 711),1.3819451,103.9380933
208,Pasir Ris Street 72 (Blk 712),1.382149,103.938254
209,Pasir Ris Street 72 (Blk 718),1.382318,103.936363
210,Pasir Ris Street 72 (Blk 719),1.382089,103.936699
211,Pasir Ris Street 72 (Blk 721),1.381353,103.936317
212,Pasir Ris Street 72 (Blk 722),1.380948,103.936735
213,Pasir Ris Street 72 (Blk 723),1.380768,103.936677
214,Pasir Ris Street 72 (Whitewater),1.3811375,103.9350725
215,Marsiling Rise (Blk 115),1.4382762,103.781049
216,Marsiling Rise (Blk 119),1.4387013,103.7806189
217,Marsiling Rise (Blk 123),1.438665,103.779747
218,Marsiling Rise (Blk 130),1.438159,103.778726
219,Marsiling Road (Blk 180B),1.4395425,103.778565
220,Woodlands Street 13 (Blk 113),1.4380025,103.7814678
221,Bukit Batok Central Link (The Jade),1.34937296,103.7482763
222,Bukit Batok Central (Blk 103),1.3487195,103.7480846
223,Bukit Batok Central (Blk 105),1.3484419,103.7471223
224,Bukit Batok Central (Blk 125),1.3500393,103.74881
225,Bukit Batok West Avenue 6 (Blk 108),1.3474762,103.7464736
226,Bukit Batok West Avenue 6 (Blk 109),1.346919,103.745749
227,Bukit Batok West Avenue 6 (Blk 110),1.3475839,103.7457459
